,name,averageRating
542,Sweet Cheesus,5.0
558,Green Tiger,5.0
569,Banana D'Lime,5.0
593,Cougar Piss,5.0
604,Purple Sauce,5.0
610,Shiraz,5.0
612,Runaway Bride,5.0
614,Mindscape,5.0
616,Pink Rockstar,5.0
622,Razz Tazz,5.0
642,Helen Back,5.0
655,Afghani Grapefruit,5.0
661,Grey Area,5.0
664,Fuel Cake,5.0
671,Reba,5.0
681,Grape Gas Gelatti,5.0
683,Citrus Tsunami,5.0
688,Candyclysm,5.0
698,Cherry Dooku,5.0
701,Pink Froot,5.0
709,Neon Lights,5.0
719,Skunk Chem,5.0
720,Black Water,5.0
725,Glo Dawg,5.0
727,Blueberry Syrup,5.0
730,G13 Skunk,5.0
736,White Dawg Fire OG,5.0
741,Clearwater Kush,5.0
743,Sour Peel,5.0
747,Rotten Pomegranate,5.0
758,Four Cups,5.0
766,Caribbean Chocolate,5.0
778,Bright Fire,5.0
780,Tangier Chilly,5.0
786,Dead Hot Strawberries,5.0
792,Mystery Jazz,5.0
793,Keyser Soze,5.0
801,Sweet N Sour,5.0
810,Pineapple Pomegranate,5.0
815,Dreamtime,5.0
834,Sin City Diesel,5.0
842,Jelly Sherbet,5.0
848,NYC Haze,5.0
853,Ultra Banana,5.0
854,Aqua Woman,5.0
876,Sweet Amnesia Haze,5.0
883,Beyond Blueberry,5.0
899,Sunset Sherb x Hollywood,5.0
900,Silver Nina,5.0
903,5k Puff,5.0
912,Strawberry Trainwreck,5.0
915,OG Deluxe,5.0
916,Ice Cream Sandwich,5.0
924,Turkish Delight,5.0
932,Chem Stardashian,5.0
933,NY Cheeze Cake,5.0
935,Lemon Drop Haze,5.0
950,Purple Lemonade Auto,5.0
956,C3,5.0
965,Pepe Le Dank,5.0
968,Zeluga,5.0
976,Lemon Puff,5.0
986,Moonana Wreck,5.0
990,Royal Platinum,5.0
993,Suckles #2,5.0
1024,Raspberry Beret,5.0
1025,Jack Plant,5.0
1037,Sweet Boy,5.0
1039,Pakistani Purple,5.0
1051,Cinnabom,5.0
1056,Cake Breath Cookies,5.0
1058,Bagota Berry,5.0
1064,Scary Cherry OG,5.0
1113,Bad Girl,5.0
1116,Runtz Button,5.0
1122,Tar Pit,5.0
1123,Perfect Cell,5.0
1134,Limoncello Runtz,5.0
1139,Samsquanch,5.0
1140,Pablo’s Private Reserve,5.0
1146,Bell Ringer,5.0
1147,Grape Gary,5.0
1149,Cindy Le Pew,5.0
1156,Mi-Lano,5.0
1167,Colonel Crunch,5.0
1170,Plum Dawg Millionaire,5.0
1171,Lost Coast Hash Plant,5.0
1172,Mango Puff,5.0
1186,Bumpy Ride,5.0
1202,Sour Apple Gelato,5.0
1206,Atomic Bomb,5.0
1207,Skunk Valley Haze,5.0
1208,Sour StrawburieD,5.0
1228,Supa Durban,5.0
1231,Platinum Blue Dream,5.0
1242,Superwoman S1,5.0
1244,Pineapple Euphoria,5.0
1256,Perfect Storm,5.0
1272,Banana Smoothie,5.0
1273,Razberry Gas Tank,5.0
